Tên di tích,Tọa độ
Đình Phú Nhuận,"10.795362511439716, 106.673864254131"
Đình Tân An (Bến Thế),"11.01970405639836, 106.61830219646122"
Đình Thắng Tam,"10.34013008979058, 107.08295979645634"
Đình Thần Linh Đông,"10.853322555076566, 106.76024317192255"
Đình Thông Tây Hội,"10.840000633777274, 106.66493947622094"
Đình Trường Thọ,"10.83363325813424, 106.75664891425093"
Đình Xuân Hiệp,"10.877636787952133, 106.76533819216165"
Hội quán Hà Chương,"10.753116410259468, 106.65795025596664"
Hội quán Nghĩa An (Miếu Quan Đế/Chùa Ông),"10.753662453000011, 106.66210427805626"
Hội quán Nghĩa Nhuận,"10.749193750473093, 106.65441869988231"
Hội quán Ôn Lăng,"10.754131971849885, 106.659624625907"
Hội quán Quỳnh Phủ,"10.752445654286207, 106.66323119645925"
Hội quán Tuệ Thành (Chùa Bà),"10.753253542057488, 106.66117684816919"
Lăng Lê Văn Duyệt,"10.802217454675066, 106.69708365535504"
Lăng Trương Tấn Bửu,"10.796197458827, 106.67557949093708"
Lăng Võ Di Nguy,"10.795762006729788, 106.68295119645941"
Linh Sơn Cổ Tự,"10.339395637686106, 107.08382801424735"
Miếu Nhị Phủ (Chùa Ông Bổn),"10.751397624528153, 106.6572630964593"
Miếu Thiên Hậu (Quảng Triệu hội quán),"10.765062486177206, 106.69908366923417"
Nhà cổ Trần Công Vàng,"10.97868162166789, 106.6515762320429"
Nhà cổ Trần Văn Hổ,"10.97799448073809, 106.65064343404006"
Nhà hát Thành phố Hồ Chí Minh,"10.77661542428395, 106.70316881425052"
Nhà Lớn Long Sơn,"10.454542774719467, 107.09629591324035"
Nhà thờ tổ thợ bạc (Hội quán Lệ Châu),"10.752307300714847, 106.65514511225754"
Niết Bàn Tịnh Xá,"10.330648018102252, 107.07685410888055"
Núi Châu Thới,"10.914737613693179, 106.80529937294139"
Thích Ca Phật Đài,"10.374377082142972, 107.07057046638222"
Tòa án nhân dân Thành phố Hồ Chí Minh,"10.775681684736224, 106.69791498036552"
Trụ sở Hội đồng nhân dân và Ủy ban nhân dân Thành phố Hồ Chí Minh,"10.776543101648452, 106.70091960695338"
